Date,NewDeaths,CumDeaths
2020-03-06,1,1
2020-03-07,1,2
2020-03-08,0,2
2020-03-09,1,3
2020-03-10,3,6
2020-03-11,0,6
2020-03-12,2,8
2020-03-13,2,10
2020-03-14,11,21
2020-03-15,14,35
2020-03-16,20,55
2020-03-17,16,71
2020-03-18,32,103
2020-03-19,41,144
2020-03-20,33,177
2020-03-21,56,233
2020-03-22,48,281
2020-03-23,54,335
2020-03-24,87,422
2020-03-25,41,463
2020-03-26,115,578
2020-03-27,181,759
2020-03-28,260,1019
2020-03-29,209,1228
2020-03-30,180,1408
2020-03-31,381,1789
2020-04-01,563,2352
2020-04-02,569,2921
2020-04-03,684,3605
2020-04-04,708,4313
2020-04-05,621,4934
2020-04-06,439,5373
2020-04-07,786,6159
2020-04-08,938,7097
2020-04-09,881,7978
2020-04-10,980,8958
2020-04-11,917,9875
2020-04-12,737,10612
2020-04-13,717,11329
