area_code,population
E06000001,93861
E06000002,148285
E06000003,137175
E06000004,199966
E06000005,109469
E06000006,128964
E06000007,211580
E06000008,155762
E06000009,141574
E06000010,268852
E06000011,346309
E06000012,157754
E06000013,170042
E06000014,204551
E06000015,263490
E06000016,373399
E06000017,41151
E06000018,328513
E06000019,188719
E06000020,188871
E06000021,259965
E06000022,195618
E06000023,479024
E06000024,219145
E06000025,294765
E06000026,266862
E06000027,139479
E06000030,235657
E06000031,217705
E06000032,226973
E06000033,180915
E06000034,176877
E06000035,282702
E06000036,126881
E06000037,162215
E06000038,174820
E06000039,159182
E06000040,154738
E06000041,180967
E06000042,292180
E06000043,277965
E06000044,208420
E06000045,252689
E06000046,140794
E06000047,528127
E06000049,406527
E06000050,361694
E06000051,327178
E06000052,577694
E06000054,515885
E06000055,187466
E06000056,301501
E06000057,324362
E06000058,401898
E06000059,383274
E06000060,560409
E06000061,363408
E06000062,429013
E07000008,146995
E07000009,89394
E07000010,103035
E07000011,184052
E07000012,165633
E07000026,96555
E07000027,67347
E07000028,111418
E07000029,67417
E07000030,55489
E07000031,104807
E07000032,126944
E07000033,81553
E07000034,104110
E07000035,71752
E07000036,113080
E07000037,91109
E07000038,103783
E07000039,111133
E07000040,154500
E07000041,134939
E07000042,83786
E07000043,100505
E07000044,89812
E07000045,135952
E07000046,68635
E07000047,58190
E07000061,102247
E07000062,90622
E07000063,100677
E07000064,94162
E07000065,163012
E07000066,188848
E07000067,157681
E07000068,77332
E07000069,89731
E07000070,183326
E07000071,194394
E07000072,134989
E07000073,94409
E07000074,67554
E07000075,87216
E07000076,151451
E07000077,92578
E07000078,119434
E07000079,91311
E07000080,87937
E07000081,133522
E07000082,123205
E07000083,97000
E07000084,187817
E07000085,127319
E07000086,138935
E07000087,114547
E07000088,82285
E07000089,100910
E07000090,124854
E07000091,175942
E07000092,101060
E07000093,132871
E07000094,130268
E07000095,99103
E07000096,156123
E07000098,108106
E07000099,134159
E07000102,94123
E07000103,103031
E07000105,135610
E07000106,157550
E07000107,118820
E07000108,117473
E07000109,106970
E07000110,180428
E07000111,121106
E07000112,110237
E07000113,154619
E07000114,140689
E07000115,133661
E07000116,116028
E07000117,95553
E07000118,118624
E07000119,83008
E07000120,83213
E07000121,144446
E07000122,96110
E07000123,151582
E07000124,63107
E07000125,71169
E07000126,112166
E07000127,119367
E07000128,114809
E07000129,104182
E07000130,184748
E07000131,100481
E07000132,114298
E07000133,52433
E07000134,107672
E07000135,58341
E07000136,70806
E07000137,144415
E07000138,102545
E07000139,119709
E07000140,96983
E07000141,144249
E07000142,96817
E07000143,143479
E07000144,133872
E07000145,99862
E07000146,155741
E07000147,103227
E07000148,144525
E07000149,144593
E07000163,57804
E07000164,92067
E07000165,165800
E07000166,50086
E07000167,55272
E07000168,108907
E07000169,93565
E07000170,127179
E07000171,120012
E07000172,112113
E07000173,117730
E07000174,111117
E07000175,125089
E07000176,121582
E07000177,164155
E07000178,163257
E07000179,151820
E07000180,142116
E07000181,116928
E07000187,116728
E07000188,126627
E07000189,174238
E07000192,101140
E07000193,125760
E07000194,108352
E07000195,125297
E07000196,111527
E07000197,138670
E07000198,95899
E07000199,79639
E07000200,94277
E07000202,139247
E07000203,105723
E07000207,140024
E07000208,81184
E07000209,145673
E07000210,87769
E07000211,153629
E07000212,88524
E07000213,103551
E07000214,91237
E07000215,88707
E07000216,130063
E07000217,104179
E07000218,65946
E07000219,135481
E07000220,116436
E07000221,138583
E07000222,151158
E07000223,64688
E07000224,166366
E07000225,126103
E07000226,119509
E07000227,148696
E07000228,154930
E07000229,112044
E07000234,100076
E07000235,81024
E07000236,87132
E07000237,104120
E07000238,134536
E07000239,102328
E07000240,148358
E07000241,120213
E07000242,151635
E07000243,89737
E07000244,247080
E07000245,182228
E07000246,159259
E08000001,298903
E08000002,194606
E08000003,568996
E08000004,243912
E08000005,226992
E08000006,278064
E08000007,297107
E08000008,232753
E08000009,236301
E08000010,334110
E08000011,157103
E08000012,496770
E08000013,184728
E08000014,281027
E08000015,322453
E08000016,246482
E08000017,311027
E08000018,268354
E08000019,566242
E08000021,307565
E08000022,210487
E08000023,148667
E08000024,277354
E08000025,1157603
E08000026,355600
E08000027,324969
E08000028,344210
E08000029,217678
E08000030,286105
E08000031,267651
E08000032,552644
E08000033,207699
E08000034,437593
E08000035,822483
E08000036,357729
E08000037,197722
E09000002,219992
E09000003,389101
E09000004,247835
E09000005,341221
E09000006,329578
E09000007,218049
E09000008,392224
E09000009,369937
E09000010,327224
E09000011,291080
E09000012,272338
E09000013,185238
E09000014,261811
E09000015,261185
E09000016,264703
E09000017,310681
E09000018,290488
E09000019,220373
E09000020,146154
E09000021,168302
E09000022,316812
E09000023,298653
E09000024,214709
E09000025,358645
E09000026,310911
E09000027,194894
E09000028,311913
E09000029,210053
E09000030,325789
E09000031,275887
E09000032,329035
E09000033,211365
N09000001,NA
N09000002,NA
N09000003,NA
N09000004,NA
N09000005,NA
N09000006,NA
N09000007,NA
N09000008,NA
N09000009,NA
N09000010,NA
N09000011,NA
S12000005,NA
S12000006,NA
S12000008,NA
S12000010,NA
S12000011,NA
S12000013,NA
S12000014,NA
S12000017,NA
S12000018,NA
S12000019,NA
S12000020,NA
S12000021,NA
S12000023,NA
S12000026,NA
S12000027,NA
S12000028,NA
S12000029,NA
S12000030,NA
S12000033,NA
S12000034,NA
S12000035,NA
S12000036,NA
S12000038,NA
S12000039,NA
S12000040,NA
S12000041,NA
S12000042,NA
S12000045,NA
S12000047,NA
S12000048,NA
S12000049,NA
S12000050,NA
W06000001,69049
W06000002,117591
W06000003,114290
W06000004,96558
W06000005,155319
W06000006,135394
W06000008,71610
W06000009,124367
W06000010,189117
W06000011,241282
W06000012,142158
W06000013,146136
W06000014,133492
W06000015,372089
W06000016,239018
W06000018,176130
W06000019,67014
W06000020,92860
W06000021,93886
W06000022,161506
W06000023,133891
W06000024,58883
